Date,Total,Executed,Passed,Error,Failed,Timeout,Aborted,Inconclusive,PassedButRunAborted,NotRunnable,NotExecuted,Disconnected,Warning,Completed,InProgress,Pending
26062018,47845,47845,32380,0,15465,0,0,0,0,0,0,0,0,0,0,0
27062018,47845,47845,32380,0,15465,0,0,0,0,0,0,0,0,0,0,0
28062018,51798,51798,51363,0,435,0,0,0,0,0,0,0,0,0,0,0
29062018,51798,51798,51363,0,435,0,0,0,0,0,0,0,0,0,0,0
02072018,51798,51798,51525,0,273,0,0,0,0,0,0,0,0,0,0,0
03072018,51798,51798,51524,0,274,0,0,0,0,0,0,0,0,0,0,0
04072018,51798,51798,51524,0,274,0,0,0,0,0,0,0,0,0,0,0
05072018,51798,51798,51485,0,313,0,0,0,0,0,0,0,0,0,0,0
06072018,51801,51801,51703,0,98,0,0,0,0,0,0,0,0,0,0,0
09072018,51801,51801,51743,0,58,0,0,0,0,0,0,0,0,0,0,0
11072018,51799,51799,47838,0,3961,0,0,0,0,0,0,0,0,0,0,0
12072018,54152,54152,51754,0,2398,0,0,0,0,0,0,0,0,0,0,0
13072018,54152,54152,51753,0,2399,0,0,0,0,0,0,0,0,0,0,0
16072018,54153,54153,51759,0,2394,0,0,0,0,0,0,0,0,0,0,0
17072018,54155,54155,51761,0,2394,0,0,0,0,0,0,0,0,0,0,0
18072018,51807,51807,51798,0,9,0,0,0,0,0,0,0,0,0,0,0
19072018,51807,51807,51798,0,9,0,0,0,0,0,0,0,0,0,0,0
20072018,51807,51807,51800,0,7,0,0,0,0,0,0,0,0,0,0,0
23072018,51810,51810,51804,0,6,0,0,0,0,0,0,0,0,0,0,0
24072018,51812,51812,51807,0,5,0,0,0,0,0,0,0,0,0,0,0
25072018,51812,51812,51805,0,7,0,0,0,0,0,0,0,0,0,0,0
26072018,51812,51812,51805,0,7,0,0,0,0,0,0,0,0,0,0,0
27072018,51812,51812,51805,0,7,0,0,0,0,0,0,0,0,0,0,0
30072018,51812,51812,51805,0,7,0,0,0,0,0,0,0,0,0,0,0
31072018,51812,51812,51805,0,7,0,0,0,0,0,0,0,0,0,0,0
01082018,51812,51812,51805,0,7,0,0,0,0,0,0,0,0,0,0,0
02082018,51813,51813,51806,0,7,0,0,0,0,0,0,0,0,0,0,0
03082018,51813,51813,51806,0,7,0,0,0,0,0,0,0,0,0,0,0
06082018,51813,51813,51806,0,7,0,0,0,0,0,0,0,0,0,0,0
07082018,51813,51813,51806,0,7,0,0,0,0,0,0,0,0,0,0,0
08082018,51813,51813,51806,0,7,0,0,0,0,0,0,0,0,0,0,0
09082018,51814,51814,51806,0,8,0,0,0,0,0,0,0,0,0,0,0
10082018,51814,51814,51806,0,8,0,0,0,0,0,0,0,0,0,0,0
13082018,51814,51814,51806,0,8,0,0,0,0,0,0,0,0,0,0,0
14082018,51814,51814,51806,0,8,0,0,0,0,0,0,0,0,0,0,0
15082018,51814,51814,51806,0,8,0,0,0,0,0,0,0,0,0,0,0
21082018,51814,51814,51806,0,8,0,0,0,0,0,0,0,0,0,0,0
22082018,51813,51813,51806,0,7,0,0,0,0,0,0,0,0,0,0,0
23082018,51813,51813,51806,0,7,0,0,0,0,0,0,0,0,0,0,0
24082018,51813,51813,51806,0,7,0,0,0,0,0,0,0,0,0,0,0
27082018,51813,51813,51806,0,7,0,0,0,0,0,0,0,0,0,0,0
28082018,51813,51813,51806,0,7,0,0,0,0,0,0,0,0,0,0,0
29082018,51813,51813,51804,0,9,0,0,0,0,0,0,0,0,0,0,0
30082018,51812,51812,51805,0,7,0,0,0,0,0,0,0,0,0,0,0
31082018,51812,51812,51805,0,7,0,0,0,0,0,0,0,0,0,0,0
03092018,51814,51814,51807,0,7,0,0,0,0,0,0,0,0,0,0,0
04092018,51814,51814,51807,0,7,0,0,0,0,0,0,0,0,0,0,0
05092018,51814,51814,51807,0,7,0,0,0,0,0,0,0,0,0,0,0
06092018,51814,51814,51807,0,7,0,0,0,0,0,0,0,0,0,0,0
07092018,51814,51814,51807,0,7,0,0,0,0,0,0,0,0,0,0,0
10092018,51814,51814,51807,0,7,0,0,0,0,0,0,0,0,0,0,0
11092018,51814,51814,51807,0,7,0,0,0,0,0,0,0,0,0,0,0
13092018,51814,51814,51807,0,7,0,0,0,0,0,0,0,0,0,0,0
14092018,51814,51814,51807,0,7,0,0,0,0,0,0,0,0,0,0,0
17092018,9188,9188,4317,0,4871,0,0,0,0,0,0,0,0,0,0,0
18092018,9201,9201,9191,0,10,0,0,0,0,0,0,0,0,0,0,0
19092018,9201,9201,9193,0,8,0,0,0,0,0,0,0,0,0,0,0
20092018,9597,9597,9592,0,5,0,0,0,0,0,0,0,0,0,0,0
21092018,9597,9597,9592,0,5,0,0,0,0,0,0,0,0,0,0,0
24092018,9597,9597,9592,0,5,0,0,0,0,0,0,0,0,0,0,0
25092018,9597,9597,9592,0,5,0,0,0,0,0,0,0,0,0,0,0
26092018,9597,9597,9592,0,5,0,0,0,0,0,0,0,0,0,0,0
27092018,9597,9597,9592,0,5,0,0,0,0,0,0,0,0,0,0,0
28092018,9597,9597,9592,0,5,0,0,0,0,0,0,0,0,0,0,0
01102018,9597,9597,9592,0,5,0,0,0,0,0,0,0,0,0,0,0
02102018,9597,9597,9591,0,6,0,0,0,0,0,0,0,0,0,0,0
03102018,9597,9597,9592,0,5,0,0,0,0,0,0,0,0,0,0,0
04102018,9597,9597,9592,0,5,0,0,0,0,0,0,0,0,0,0,0
05102018,9597,9597,9592,0,5,0,0,0,0,0,0,0,0,0,0,0
08102018,9597,9597,9592,0,5,0,0,0,0,0,0,0,0,0,0,0
09102018,9597,9597,9592,0,5,0,0,0,0,0,0,0,0,0,0,0
10102018,9597,9597,9592,0,5,0,0,0,0,0,0,0,0,0,0,0
11102018,9597,9597,9592,0,5,0,0,0,0,0,0,0,0,0,0,0
12102018,9597,9597,9592,0,5,0,0,0,0,0,0,0,0,0,0,0
15102018,9597,9597,9590,0,7,0,0,0,0,0,0,0,0,0,0,0
16102018,9597,9597,9590,0,7,0,0,0,0,0,0,0,0,0,0,0
17102018,9598,9598,9593,0,5,0,0,0,0,0,0,0,0,0,0,0
18102018,9598,9598,9595,0,3,0,0,0,0,0,0,0,0,0,0,0
19102018,9599,9599,9595,0,4,0,0,0,0,0,0,0,0,0,0,0
22102018,9599,9599,9595,0,4,0,0,0,0,0,0,0,0,0,0,0
23102018,9599,9599,9595,0,4,0,0,0,0,0,0,0,0,0,0,0
24102018,9600,9600,9597,0,3,0,0,0,0,0,0,0,0,0,0,0
25102018,9600,9600,9597,0,3,0,0,0,0,0,0,0,0,0,0,0
26102018,9600,9600,9597,0,3,0,0,0,0,0,0,0,0,0,0,0
29102018,9600,9600,9596,0,4,0,0,0,0,0,0,0,0,0,0,0
30102018,9600,9600,9597,0,3,0,0,0,0,0,0,0,0,0,0,0
31102018,9600,9600,9597,0,3,0,0,0,0,0,0,0,0,0,0,0
01112018,9600,9600,9597,0,3,0,0,0,0,0,0,0,0,0,0,0
02112018,9600,9600,9597,0,3,0,0,0,0,0,0,0,0,0,0,0
05112018,9600,9600,9597,0,3,0,0,0,0,0,0,0,0,0,0,0
06112018,9600,9600,9597,0,3,0,0,0,0,0,0,0,0,0,0,0
07112018,9600,9600,9597,0,3,0,0,0,0,0,0,0,0,0,0,0
08112018,9600,9600,9597,0,3,0,0,0,0,0,0,0,0,0,0,0
09112018,9600,9600,9597,0,3,0,0,0,0,0,0,0,0,0,0,0
12112018,9600,9600,5134,0,4466,0,0,0,0,0,0,0,0,0,0,0
13112018,9614,9614,9610,0,4,0,0,0,0,0,0,0,0,0,0,0
14112018,9614,9614,9610,0,4,0,0,0,0,0,0,0,0,0,0,0
15112018,9614,9614,9610,0,4,0,0,0,0,0,0,0,0,0,0,0
16112018,9614,9614,9610,0,4,0,0,0,0,0,0,0,0,0,0,0
19112018,9614,9614,9610,0,4,0,0,0,0,0,0,0,0,0,0,0
20112018,9614,9614,9593,0,21,0,0,0,0,0,0,0,0,0,0,0
21112018,9614,9614,9590,0,24,0,0,0,0,0,0,0,0,0,0,0
22112018,9724,9724,5210,0,4514,0,0,0,0,0,0,0,0,0,0,0
23112018,9736,9736,9731,0,5,0,0,0,0,0,0,0,0,0,0,0
26112018,9736,9736,9731,0,5,0,0,0,0,0,0,0,0,0,0,0
27112018,9736,9736,9731,0,5,0,0,0,0,0,0,0,0,0,0,0
28112018,9736,9736,9731,0,5,0,0,0,0,0,0,0,0,0,0,0
29112018,9736,9736,9731,0,5,0,0,0,0,0,0,0,0,0,0,0
30112018,9736,9736,9731,0,5,0,0,0,0,0,0,0,0,0,0,0
03122018,9736,9736,9731,0,5,0,0,0,0,0,0,0,0,0,0,0
04122018,9740,9740,9738,0,2,0,0,0,0,0,0,0,0,0,0,0
05122018,9740,9740,9738,0,2,0,0,0,0,0,0,0,0,0,0,0
07122018,9742,9742,9740,0,2,0,0,0,0,0,0,0,0,0,0,0
10122018,9742,9742,9739,0,3,0,0,0,0,0,0,0,0,0,0,0
12122018,9742,9742,9740,0,2,0,0,0,0,0,0,0,0,0,0,0
13122018,9742,9742,9740,0,2,0,0,0,0,0,0,0,0,0,0,0
14122018,9742,9742,9740,0,2,0,0,0,0,0,0,0,0,0,0,0
17122018,9742,9742,9740,0,2,0,0,0,0,0,0,0,0,0,0,0
18122018,9742,9742,9740,0,2,0,0,0,0,0,0,0,0,0,0,0
20122018,9742,9742,9740,0,2,0,0,0,0,0,0,0,0,0,0,0
21122018,9742,9742,9740,0,2,0,0,0,0,0,0,0,0,0,0,0
24122018,9742,9742,9739,0,3,0,0,0,0,0,0,0,0,0,0,0
25122018,9742,9742,9740,0,2,0,0,0,0,0,0,0,0,0,0,0
27122018,9742,9742,9740,0,2,0,0,0,0,0,0,0,0,0,0,0
28122018,9742,9742,9740,0,2,0,0,0,0,0,0,0,0,0,0,0
31122018,9742,9742,9740,0,2,0,0,0,0,0,0,0,0,0,0,0
03012019,9742,9742,9739,0,3,0,0,0,0,0,0,0,0,0,0,0
07012019,9742,9742,9739,0,3,0,0,0,0,0,0,0,0,0,0,0
08012019,9742,9742,9739,0,3,0,0,0,0,0,0,0,0,0,0,0
09012019,9742,9742,9739,0,3,0,0,0,0,0,0,0,0,0,0,0
10012019,9742,9742,9739,0,3,0,0,0,0,0,0,0,0,0,0,0
11012019,9742,9742,9739,0,3,0,0,0,0,0,0,0,0,0,0,0
14012019,9742,9742,9739,0,3,0,0,0,0,0,0,0,0,0,0,0
15012019,9742,9742,8276,0,1466,0,0,0,0,0,0,0,0,0,0,0
16012019,10046,10046,6212,0,3834,0,0,0,0,0,0,0,0,0,0,0
17012019,10046,10046,6086,0,3960,0,0,0,0,0,0,0,0,0,0,0
18012019,10046,10046,3613,0,6433,0,0,0,0,0,0,0,0,0,0,0
